iter	Passed	Remaining
0	122	30399
1	242	30121
2	348	28696
3	384	23616
4	480	23550
5	581	23630
6	688	23902
7	818	24757
8	919	24622
9	1000	24022
10	1102	23944
11	1200	23800
12	1296	23630
13	1378	23244
14	1487	23298
15	1567	22922
16	1683	23078
17	1786	23021
18	1868	22712
19	1970	22661
20	2077	22650
21	2163	22422
22	2258	22286
23	2356	22186
24	2463	22173
25	2555	22017
26	2669	22044
27	2740	21727
28	2852	21737
29	2905	21308
30	2993	21147
31	3109	21182
32	3199	21036
33	3323	21113
34	3420	21008
35	3489	20741
36	3593	20688
37	3689	20583
38	3773	20416
39	3880	20375
40	3980	20288
41	4095	20283
42	4225	20339
43	4318	20217
44	4420	20137
45	4509	19999
46	4598	19862
47	4707	19809
48	4810	19733
49	4909	19636
50	4999	19506
51	5103	19430
52	5191	19295
53	5301	19242
54	5409	19179
55	5500	19054
56	5609	18993
57	5700	18869
58	5804	18790
59	5891	18657
60	5968	18491
61	6040	18315
62	6144	18239
63	6224	18090
64	6314	17971
65	6410	17871
66	6528	17832
67	6632	17750
68	6729	17652
69	6845	17603
70	6902	17401
71	7002	17311
72	7083	17175
73	7146	16996
74	7249	16914
75	7351	16831
76	7457	16754
77	7562	16675
78	7651	16562
79	7732	16432
80	7829	16336
81	7925	16237
82	8041	16179
83	8158	16123
84	8262	16038
85	8339	15902
86	8444	15820
87	8525	15694
88	8605	15567
89	8711	15487
90	8813	15399
91	8891	15269
92	8990	15177
93	9072	15056
94	9163	14950
95	9243	14828
96	9319	14699
97	9422	14613
98	9502	14494
99	9595	14392
100	9699	14309
101	9782	14193
102	9887	14110
103	9992	14028
104	10100	13948
105	10168	13814
106	10258	13709
107	10361	13622
108	10425	13486
109	10530	13402
110	10628	13309
111	10708	13193
112	10817	13114
113	10892	12994
114	10986	12896
115	11064	12781
116	11155	12681
117	11232	12565
118	11346	12490
119	11435	12388
120	11529	12291
121	11619	12191
122	11725	12106
123	11819	12009
124	11907	11907
125	12008	11817
126	12100	11719
127	12215	11643
128	12317	11553
129	12407	11453
130	12494	11350
131	12590	11255
132	12672	11148
133	12785	11067
134	12877	10970
135	12975	10876
136	13098	10803
137	13206	10718
138	13334	10648
139	13410	10536
140	13502	10438
141	13616	10356
142	13690	10243
143	13803	10161
144	13892	10059
145	13988	9964
146	14101	9880
147	14168	9765
148	14276	9677
149	14366	9577
150	14422	9455
151	14444	9313
152	14551	9225
153	14621	9114
154	14715	9018
155	14796	8916
156	14913	8833
157	14941	8700
158	15010	8591
159	15112	8500
160	15196	8400
161	15286	8303
162	15369	8203
163	15461	8107
164	15568	8020
165	15682	7935
166	15785	7845
167	15861	7741
168	15953	7646
169	16055	7555
170	16157	7464
171	16241	7365
172	16339	7272
173	16441	7181
174	16545	7091
175	16675	7011
176	16781	6921
177	16866	6822
178	16952	6724
179	17038	6626
180	17150	6538
181	17265	6450
182	17365	6358
183	17458	6262
184	17480	6141
185	17574	6047
186	17689	5959
187	17811	5873
188	17903	5778
189	17997	5683
190	18091	5588
191	18181	5492
192	18263	5393
193	18339	5293
194	18448	5203
195	18514	5100
196	18605	5005
197	18707	4913
198	18776	4812
199	18870	4717
200	18958	4621
201	19048	4526
202	19127	4428
203	19208	4331
204	19294	4235
205	19379	4139
206	19483	4047
207	19582	3954
208	19653	3855
209	19761	3764
210	19862	3671
211	19954	3576
212	20077	3487
213	20181	3395
214	20263	3298
215	20356	3204
216	20446	3109
217	20528	3013
218	20626	2919
219	20740	2828
220	20820	2732
221	20904	2636
222	21008	2543
223	21088	2447
224	21110	2345
225	21194	2250
226	21303	2158
227	21398	2064
228	21487	1970
229	21577	1876
230	21698	1784
231	21789	1690
232	21893	1597
233	21989	1503
234	22059	1408
235	22148	1313
236	22234	1219
237	22305	1124
238	22397	1030
239	22493	937
240	22604	844
241	22698	750
242	22785	656
243	22865	562
244	22970	468
245	23049	374
246	23137	281
247	23227	187
248	23308	93
249	23391	0
